id	conversation_id	role	created_at	has_embedding	embedding_model	content_excerpt
a8e99e42-7476-40af-acbc-d6632e21f5e9	8294c4cb-1723-45cf-b885-4faf81016c55	assistant	2026-05-09 21:43:11.641981+00	t	voyage-4-lite	¿Qué producto quieres?
755fa348-5c80-45ab-9c6a-5e886bc4f0b5	8294c4cb-1723-45cf-b885-4faf81016c55	user	2026-05-09 21:43:04.485606+00	t	voyage-4-lite	chico
3e43b9ac-f587-4940-b8b2-3cfc399f2408	8294c4cb-1723-45cf-b885-4faf81016c55	assistant	2026-05-09 21:42:52.025812+00	t	voyage-4-lite	¿Me pasas ese dato para continuar?
f1c67c1c-bbc8-4361-961a-05a01430cd14	8294c4cb-1723-45cf-b885-4faf81016c55	user	2026-05-09 21:42:43.914023+00	t	voyage-4-lite	que dato necesitas
bb7ba816-8984-40fc-a392-3228b749c320	8294c4cb-1723-45cf-b885-4faf81016c55	assistant	2026-05-09 21:40:31.740437+00	t	voyage-4-lite	Me falta ese dato para avanzar: ¿Me pasas ese dato para continuar?
344d7e52-cdc1-46c2-95a4-d63ffa629cd4	8294c4cb-1723-45cf-b885-4faf81016c55	user	2026-05-09 21:40:23.388191+00	t	voyage-4-lite	que dato
ad3803de-f2b4-4987-9362-f331af926b31	8294c4cb-1723-45cf-b885-4faf81016c55	assistant	2026-05-09 21:40:04.222202+00	t	voyage-4-lite	¿Me pasas ese dato para continuar?
c6c29781-cebe-442b-bbd9-7e01be747a2a	8294c4cb-1723-45cf-b885-4faf81016c55	user	2026-05-09 21:39:55.68304+00	t	voyage-4-lite	???
4ac0ad08-3a77-46fb-9c86-3230e4dd9be7	8294c4cb-1723-45cf-b885-4faf81016c55	assistant	2026-05-09 21:39:41.991297+00	t	voyage-4-lite	Me falta ese dato para avanzar: ¿Me pasas ese dato para continuar?
80375bf4-9118-495c-b8f0-6a2b905aab94	8294c4cb-1723-45cf-b885-4faf81016c55	user	2026-05-09 21:39:34.428619+00	t	voyage-4-lite	cual dato
441e0fb6-b865-4ed2-8046-c991aabfd5fd	8294c4cb-1723-45cf-b885-4faf81016c55	assistant	2026-05-09 21:39:22.2506+00	t	voyage-4-lite	¿Me pasas ese dato para continuar?
2db949f0-8324-4949-94a1-d7ac5bf3d1aa	8294c4cb-1723-45cf-b885-4faf81016c55	user	2026-05-09 21:39:13.921783+00	t	voyage-4-lite	matcha pumpkin spice latte
dcc76456-dc90-4b50-9809-b4729f4c488c	8294c4cb-1723-45cf-b885-4faf81016c55	assistant	2026-05-09 21:38:50.126653+00	t	voyage-4-lite	Encontré varias opciones: Matcha Pumpkin Spice Latte, Matcha Salted Caramel, Matcha Sugar Free. ¿Cuál prefieres?
95239d2d-4fbb-44d6-a0d4-0c1beb286da6	8294c4cb-1723-45cf-b885-4faf81016c55	user	2026-05-09 21:38:41.963184+00	t	voyage-4-lite	matcha pumpkin spice latte
94a5c18a-12bd-4801-9122-11c28bd77ce4	8294c4cb-1723-45cf-b885-4faf81016c55	assistant	2026-05-09 21:38:22.009633+00	t	voyage-4-lite	¡Perfecto! Tenemos varios matchas para ti: 🍵 **Matchata** — CH: $92 | GDE: $102 🍵 **Matcha Foam** — CH: $120-$132 | GDE: $130-$142 (Puedes elegir el sabor del foam y la leche: deslactosada, almendra, coco, avena o soya) 🍵 **Matcha Pumpkin Spice Latte** — CH: $107-$129 | GDE: $117-$139 (Caliente, rocas o frappe · Varias leches disponibles) 🍵 **Matcha Mascabado** — CH: $92-$114 | GDE: $102-$124 (Caliente, rocas o frappe · Varias leches) 🍵 **Matcha Sugar Free** — CH: $92-$114 | GDE: $102-$124 (Cali
a00fa602-e57e-42a9-9748-b2fb7a457b6d	8294c4cb-1723-45cf-b885-4faf81016c55	user	2026-05-09 21:38:11.90053+00	t	voyage-4-lite	matcha
b70b56f4-1e22-403f-9bf8-3b2d89596e72	8294c4cb-1723-45cf-b885-4faf81016c55	assistant	2026-05-09 21:37:59.006701+00	t	voyage-4-lite	"No encontré ""1x Latte Regular (Ch, Rocas, Deslactosada)"" en el menú."
d8a3260d-d00e-485e-9958-7c6bc65815be	8294c4cb-1723-45cf-b885-4faf81016c55	user	2026-05-09 21:37:50.912336+00	t	voyage-4-lite	quiero un pumpkin matcha latte chico a las rocas con leche deslactosada
8d1f1030-1d72-42b5-bd8b-b870a4db164e	8294c4cb-1723-45cf-b885-4faf81016c55	assistant	2026-05-09 21:37:24.089829+00	t	voyage-4-lite	Entendido, cancelamos ese pedido. ¿Qué te gustaría ordenar ahora?
f0bbbdad-5532-426f-90e8-435c50ac4a5e	8294c4cb-1723-45cf-b885-4faf81016c55	user	2026-05-09 21:37:16.481353+00	t	voyage-4-lite	no
305f9c94-126f-4021-a3c6-2fd8ad3727b4	8294c4cb-1723-45cf-b885-4faf81016c55	assistant	2026-05-09 21:37:05.110183+00	t	voyage-4-lite	📋 *Resumen de tu pedido:* • 1x Latte Regular (Ch, Rocas, Deslactosada) — $67 💰 *Total: $67* 📝 *Nota:* Latte Regular Chico Rocas ¿Confirmas? ✅
803f18b5-4eec-4a7d-83c5-ea1f819b22cd	8294c4cb-1723-45cf-b885-4faf81016c55	user	2026-05-09 21:36:57.176755+00	t	voyage-4-lite	hola
1d44c586-eb78-4384-a71f-984817dd827d	8294c4cb-1723-45cf-b885-4faf81016c55	assistant	2026-05-09 21:33:03.840547+00	t	voyage-4-lite	¡Listo! Tu orden está confirmada. 🎉 📋 *Número de orden:* `63d890b3-ec41-4a2b-932c-85e5d26abd9b` 💰 *Total:* $67 Gracias por tu compra. ¡Nos vemos pronto! 😊
bc8f2c35-db72-41a3-9b33-9cd2f023ed03	8294c4cb-1723-45cf-b885-4faf81016c55	user	2026-05-09 21:32:55.851691+00	t	voyage-4-lite	si
cbda80cf-7c42-4b46-983d-874d4a1e60a2	8294c4cb-1723-45cf-b885-4faf81016c55	assistant	2026-05-09 21:32:44.48334+00	t	voyage-4-lite	📋 *Resumen de tu pedido:* • 1x Latte Regular (Ch, Rocas, Deslactosada) — $67 💰 *Total: $67* 📝 *Nota:* Latte Regular Chico Rocas ¿Confirmas? ✅
17c0423a-51bf-4da0-90f1-d9f8f60b0385	8294c4cb-1723-45cf-b885-4faf81016c55	user	2026-05-09 21:32:36.029112+00	t	voyage-4-lite	cual
4b07d9b1-b688-485b-b9ce-c5e2beb1702d	8294c4cb-1723-45cf-b885-4faf81016c55	assistant	2026-05-09 21:32:24.619775+00	t	voyage-4-lite	¿Me pasas ese dato para continuar?
66e18c2e-b2eb-4299-88cd-e9915f6d4ad4	8294c4cb-1723-45cf-b885-4faf81016c55	user	2026-05-09 21:32:17.410266+00	t	voyage-4-lite	quiero repetir mi pedido
5df923a6-6f39-4a60-8acf-b54e65b26d88	8294c4cb-1723-45cf-b885-4faf81016c55	assistant	2026-05-09 21:11:14.585272+00	t	voyage-4-lite	¡Listo! Tu orden está confirmada. 🎉 📋 *Número de orden:* `aa912ef1-a192-4792-9070-5f140e181773` 💰 *Total:* $67 Gracias por tu compra. ¡Nos vemos pronto! 😊
917e65f1-2633-4ad7-acff-417f1c0ace81	8294c4cb-1723-45cf-b885-4faf81016c55	user	2026-05-09 21:11:07.071536+00	t	voyage-4-lite	si
b25cae9a-cb30-47ab-bffc-cf59ecc2544c	8294c4cb-1723-45cf-b885-4faf81016c55	assistant	2026-05-09 21:10:57.7364+00	t	voyage-4-lite	📋 *Resumen de tu pedido:* • 1x Latte Regular (Ch, Rocas, Deslactosada) — $67 💰 *Total: $67* 📝 *Nota:* Latte Regular Chico Rocas ¿Confirmas? ✅
b901b23c-f306-494a-aaa7-71d7e902af53	8294c4cb-1723-45cf-b885-4faf81016c55	user	2026-05-09 21:10:50.165315+00	t	voyage-4-lite	deslactosada
