schema	table	column	type	table_referenced_in	column_mentioned	RULING
comms	conversation_turns	id	uuid	backfill_comms.sql	yes	
comms	conversation_turns	tenant_id	uuid	backfill_comms.sql	yes	
comms	conversation_turns	conversation_id	uuid	backfill_comms.sql	yes	
comms	conversation_turns	person_id	uuid	backfill_comms.sql	yes	
comms	conversation_turns	status	text	backfill_comms.sql	yes	
comms	conversation_turns	source_message_ids	ARRAY	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	conversation_turns	assistant_message_id	uuid	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	conversation_turns	merged_user_text	text	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	conversation_turns	integrity_decision	text	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	conversation_turns	integrity_reason	text	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	conversation_turns	base_state_version	bigint	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	conversation_turns	extracted_intent	jsonb	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	conversation_turns	reconciled_action	jsonb	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	conversation_turns	first_message_at	timestamp with time zone	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	conversation_turns	last_message_at	timestamp with time zone	backfill_comms.sql	yes	
comms	conversation_turns	hold_until	timestamp with time zone	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	conversation_turns	released_at	timestamp with time zone	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	conversation_turns	processed_at	timestamp with time zone	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	conversation_turns	superseded_at	timestamp with time zone	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	conversation_turns	created_at	timestamp with time zone	backfill_comms.sql	yes	
comms	conversation_turns	metadata	jsonb	backfill_comms.sql	yes	
comms	conversations	id	uuid	backfill_comms.sql,reconcile_v3.sql	yes	
comms	conversations	tenant_id	uuid	backfill_comms.sql,reconcile_v3.sql	yes	
comms	conversations	person_id	uuid	backfill_comms.sql,reconcile_v3.sql	yes	
comms	conversations	order_id	uuid	backfill_comms.sql,reconcile_v3.sql	yes	
comms	conversations	status	text	backfill_comms.sql,reconcile_v3.sql	yes	
comms	conversations	current_state	text	backfill_comms.sql,reconcile_v3.sql	yes	
comms	conversations	conversation_history	jsonb	backfill_comms.sql,reconcile_v3.sql	yes	
comms	conversations	state_data	jsonb	backfill_comms.sql,reconcile_v3.sql	yes	
comms	conversations	draft_cart	jsonb	backfill_comms.sql,reconcile_v3.sql	yes	
comms	conversations	pending_clarification	jsonb	backfill_comms.sql,reconcile_v3.sql	yes	
comms	conversations	summary	text	backfill_comms.sql,reconcile_v3.sql	yes	
comms	conversations	history_migrated	boolean	backfill_comms.sql,reconcile_v3.sql	yes	
comms	conversations	state_version	bigint	backfill_comms.sql,reconcile_v3.sql	yes	
comms	conversations	draft_cart_version	bigint	backfill_comms.sql,reconcile_v3.sql	yes	
comms	conversations	last_message_at	timestamp with time zone	backfill_comms.sql,reconcile_v3.sql	yes	
comms	conversations	created_at	timestamp with time zone	backfill_comms.sql,reconcile_v3.sql	yes	
comms	conversations	metadata	jsonb	backfill_comms.sql,reconcile_v3.sql	yes	
comms	conversations	selected_location_id	uuid	backfill_comms.sql,reconcile_v3.sql	yes	
comms	customer_preferences	id	uuid	backfill_comms.sql	yes	
comms	customer_preferences	tenant_id	uuid	backfill_comms.sql	yes	
comms	customer_preferences	person_id	uuid	backfill_comms.sql	yes	
comms	customer_preferences	favorite_service_ids	ARRAY	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	customer_preferences	usual_modifications	jsonb	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	customer_preferences	total_transactions	integer	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	customer_preferences	avg_transaction_value_cents	integer	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	customer_preferences	last_transaction_at	timestamp with time zone	backfill_comms.sql	NO	TODO(column-unmentioned)
