created_at	conversation_id	response_type	prompt_version	processor_version	stop_reason	tools	preceding_user_message
2026-05-09 21:43:11.828189+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	chico
2026-05-09 21:42:52.190222+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	que dato necesitas
2026-05-09 21:40:31.987974+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	que dato
2026-05-09 21:40:04.414255+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	???
2026-05-09 21:39:42.182881+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	cual dato
2026-05-09 21:39:22.468052+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	matcha pumpkin spice latte
2026-05-09 21:38:50.398339+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	matcha pumpkin spice latte
2026-05-09 21:38:22.228128+00	8294c4cb-1723-45cf-b885-4faf81016c55	menu	v5.1.0.turn_v2	v2	""	search_menu	matcha
2026-05-09 21:37:59.227527+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	quiero un pumpkin matcha latte chico a las rocas con leche deslactosada
2026-05-09 21:37:24.305696+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	no
2026-05-09 21:37:05.307368+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	hola
2026-05-09 21:33:04.019111+00	8294c4cb-1723-45cf-b885-4faf81016c55	order_confirm	v5.1.0.turn_v2	v2	""	confirm_order	si
2026-05-09 21:32:44.696914+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	cual
2026-05-09 21:32:24.785888+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	quiero repetir mi pedido
2026-05-09 21:11:14.780842+00	8294c4cb-1723-45cf-b885-4faf81016c55	order_confirm	v5.1.0.turn_v2	v2	""	confirm_order	si
2026-05-09 21:10:57.895681+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	deslactosada
2026-05-09 21:10:39.246455+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	seria todo gracias
2026-05-09 21:10:18.794021+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	LATTE REGULAR CHICO ROCAS
2026-05-09 21:09:56.384522+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	un latte regular chico
2026-05-09 21:09:35.471648+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	empezar uno nuevo
2026-05-09 21:09:03.397197+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	que necesitas
2026-05-09 21:08:44.164627+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	quiero un americano chico frio
2026-05-09 21:08:23.962827+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	olvida la orden pasada, quiero hacer una nueva orden
2026-05-09 21:07:50.37804+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	chico
2026-05-09 21:07:30.664299+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	cual dato
2026-05-09 21:07:12.435239+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	hola
2026-05-08 02:18:10.597768+00	762559f0-5112-4040-9166-3fdd38d177ea	product_search	v5.1.0.turn_v2	v2	""	""	simon perro
2026-05-08 02:17:15.657412+00	762559f0-5112-4040-9166-3fdd38d177ea	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	la de chocolatechip
2026-05-08 02:13:24.415714+00	762559f0-5112-4040-9166-3fdd38d177ea	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	la de chocolatechip
2026-05-08 02:09:34.234319+00	762559f0-5112-4040-9166-3fdd38d177ea	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	la de chocholatechip
2026-05-08 02:09:03.845548+00	762559f0-5112-4040-9166-3fdd38d177ea	menu	v5.1.0.turn_v2	v2	""	search_menu	dime que variantes tienes de la mesa de leonor
2026-05-08 02:03:37.546893+00	762559f0-5112-4040-9166-3fdd38d177ea	product_search	v5.1.0.turn_v2	v2	""	""	cuáles tienes?
2026-05-08 02:03:16.417108+00	762559f0-5112-4040-9166-3fdd38d177ea	product_search	v5.1.0.turn_v2	v2	""	""	ya quitaste el latte?
2026-05-07 20:05:42.449768+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	ok
2026-05-07 20:05:22.032412+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	ok gracias
2026-05-07 19:27:08.633296+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	seria todo
2026-05-07 19:26:45.955795+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	sii quieor eso
2026-05-07 19:26:19.527911+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	hola
